name,brand,collection,price_category,gender,movement,case_material,case_material_category,water_resistance,water_resistance_category,brand_country,brand_age,collection_price_tier,warrenty,power_reserve,dial,bracelet,PRODUCT_PRICE_DETAIL,reference,brand_founded_year,is_price_outlier,collection_popularity,water_resistance_standardized,price_category_improved,case_diameter_numeric,case_size_category,brand_prestige_level
Carrera Chronograph Extreme Sport Twin-Time,Tag Heuer,Carrera,Luxury,Erkek,Otomatik,Titanyum,Titanium,100m,Water Resistant,Unknown,,Luxury Collection,2 Yıl,80 Saat,Askelet,Kauasuk,460.200₺,CBU2084.FT6297,,FALSE,35,Snorkeling (100m),Laks,44,Bayak (40-44mm),Prestijli
Urban BR-X5 Ice Blue,Bell & Ross,Urban,Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Unknown,,Luxury Collection,2 Yıl,70 Saat,Mavi,Kauasuk,375.000₺,BRX5R-IB-ST/SRB,,FALSE,19,Snorkeling (100m),Premium,41,Bayak (40-44mm),Prestijli
ProPilot Altimeter X BWD,Oris,ProPilot,Luxury,Erkek,Otomatik,Titanyum,Titanium,100m,Water Resistant,Unknown,,Premium Collection,2 Yıl,56 Saat,Siyah,Tekstil,403.000₺,01 793 7775 8724-Set,,FALSE,6,Snorkeling (100m),Premium,47,Atok Bayak (>44mm),Orta Prestij
Luminor Due Luna,Panerai,Luminor Due,Luxury,Women,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Italy,164,Ultra-Luxury Collection,8 Yıl,,Mavi,Krokodil,469.000₺,PAM01558,1860,FALSE,17,Yazme (50m),Laks,38,Orta (36-40mm),Atok Prestijli
Superocean Heritage,Breitling,Superocean Heritage,Mid-Range,Women,Otomatik,Paslanmaz Atelik,Steel,200m,Swimming,Switzerland,140,Luxury Collection,2 Yıl,42 Saat,Yeayil,Paslanmaz Atelik,273.000₺,A10390361L1A1,1884,FALSE,29,Dalaay (200m),Premium,36,Orta (36-40mm),Prestijli
Riviera,Baume & Mercier,Riviera,Mid-Range,Women,Pilli,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,194,Premium Collection,2 Yıl,,Gamaay,Paslanmaz Atelik,162.600₺,10796,1830,FALSE,45,Yazme (50m),Orta Segment,33,Kaaak (<36mm),Orta Prestij
Seamaster Aqua Terra 150M,Omega,Seamaster,Ultra-Luxury,Women,Otomatik,Atelik Altn,Gold,150m,Swimming,Switzerland,176,Ultra-Luxury Collection,5 Yıl,48 Saat,Kahverengi,Atelik Altn,570.400₺,220.20.30.20.63.001,1848,FALSE,59,Yazme (50m),Laks,30,Kaaak (<36mm),Atok Prestijli
Big Bang One Click Joyful Steel Pink,Hublot,Big Bang,Ultra-Luxury,Women,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,44,Ultra-Luxury Collection,2 Yıl,40 Saat,Beyaz,Kauasuk,670.800₺,485.SP.2210.RX.1233,1980,FALSE,43,Snorkeling (100m),Laks,33,Kaaak (<36mm),Atok Prestijli
Conquest Heritage,Longines,Watchmaking Tradition,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,192,Premium Collection,5 Yıl,72 Saat,Yeayil,Paslanmaz Atelik,159.000₺,L1.650.4.02.6,1832,FALSE,54,Yazme (50m),Orta Segment,40,Orta (36-40mm),Orta Prestij
Ultra-Chron Classic,Longines,Diving,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,192,Premium Collection,5 Yıl,52 Saat,Gamaay,Krokodil,178.000₺,L2.937.4.72.2,1832,FALSE,49,Yazme (50m),Premium,40,Orta (36-40mm),Orta Prestij
Clifton,Baume & Mercier,Clifton,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,194,Premium Collection,8 Yıl,120 Saat,Beyaz,Deri,131.200₺,10773,1830,FALSE,16,Yazme (50m),Orta Segment,39,Orta (36-40mm),Orta Prestij
Superocean,Breitling,Superocean,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,300m,Diving,Switzerland,140,Premium Collection,2 Yıl,38 Saat,Mavi,Kauasuk,252.200₺,A17375E71C1S1,1884,FALSE,15,Professyonel Dalaay (300m+),Premium,42,Bayak (40-44mm),Prestijli
Fleurier Collection 19Thirty 10th Anniversary,Bovet,Fleurier,Ultra-Luxury,Erkek,Elle Kurmala,Paslanmaz Atelik,Steel,30m,Splash Resistant,Unknown,,Ultra-Luxury Collection,5 Yıl,168 Saat,Yeayil,Deri,1.388.400₺,NTS0118,,FALSE,5,Ganlak Kullanam (30m),Ultra Laks,42,Bayak (40-44mm),Ultra Prestijli
Luminor Tre Giorni Luna Rossa,Panerai,Luminor,Luxury,Erkek,Elle Kurmala,Paslanmaz Atelik,Steel,100m,Water Resistant,Italy,164,Ultra-Luxury Collection,8 Yıl,72 Saat,Gri,Kauasuk,320.700₺,PAM01653,1860,FALSE,37,Snorkeling (100m),Premium,44,Bayak (40-44mm),Atok Prestijli
Primaluna Moonphase,Longines,Elegance,Luxury,Women,Otomatik,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,192,Premium Collection,5 Yıl,72 Saat,Mavi,Krokodil,314.000₺,L8.126.0.97.2,1832,FALSE,69,Ganlak Kullanam (30m),Premium,34,Kaaak (<36mm),Orta Prestij
Ultra-Chron Classic,Longines,Diving,Mid-Range,Unisex,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,192,Premium Collection,5 Yıl,52 Saat,Gamaay,Paslanmaz Atelik,183.000₺,L2.537.4.72.6,1832,FALSE,49,Yazme (50m),Premium,37,Orta (36-40mm),Orta Prestij
Formula 1 Solargraph,Tag Heuer,Formula 1,Budget,Erkek,Pilli,Paslanmaz Atelik,Steel,100m,Water Resistant,Unknown,,Premium Collection,2 Yıl,,Beyaz,Kauasuk,91.000₺,WBY1161.FT8086,,FALSE,38,Snorkeling (100m),Ekonomik,38,Orta (36-40mm),Prestijli
Classima,Baume & Mercier,Classima,Mid-Range,Erkek,Elle Kurmala,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,194,Entry Collection,2 Yıl,46 Saat,Mavi,Tekstil,151.600₺,10735,1830,FALSE,19,Yazme (50m),Orta Segment,42,Bayak (40-44mm),Orta Prestij
Big Bang One Click Joyful Steel Orange,Hublot,Big Bang,Ultra-Luxury,Women,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,44,Ultra-Luxury Collection,2 Yıl,40 Saat,Beyaz,Kauasuk,670.800₺,485.SO.2210.RX.1206,1980,FALSE,43,Snorkeling (100m),Laks,33,Kaaak (<36mm),Atok Prestijli
Superocean Heritage B01 Chronograph,Breitling,Superocean Heritage,Luxury,Erkek,Otomatik,Atelik Altn,Gold,200m,Swimming,Switzerland,140,Luxury Collection,5 Yıl,70 Saat,Siyah,Kauasuk,491.400₺,UB0156H11B1S1,1884,FALSE,29,Dalaay (200m),Laks,42,Bayak (40-44mm),Prestijli
Clifton,Baume & Mercier,Clifton,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,194,Premium Collection,8 Yıl,120 Saat,Mavi,Paslanmaz Atelik,135.900₺,10792,1830,FALSE,16,Yazme (50m),Orta Segment,39,Orta (36-40mm),Orta Prestij
Endurance Pro,Breitling,Professional,Mid-Range,Erkek,Pilli,Karbon,Carbon,100m,Water Resistant,Switzerland,140,Premium Collection,2 Yıl,,Siyah,Kauasuk,174.200₺,X82310A51B1S2,1884,FALSE,15,Snorkeling (100m),Orta Segment,44,Bayak (40-44mm),Prestijli
Conquest Heritage,Longines,Watchmaking Tradition,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,192,Premium Collection,5 Yıl,72 Saat,Mavi,Paslanmaz Atelik,159.000₺,L1.650.4.92.6,1832,FALSE,54,Yazme (50m),Orta Segment,40,Orta (36-40mm),Orta Prestij
Pioneer Centre Seconds Sunny-Side Up,H. Moser & Cie.,Pioneer,Ultra-Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,120m,Swimming,Unknown,,Ultra-Luxury Collection,2 Yıl,72 Saat,Sara,Kauasuk,780.000₺,3201-1200,,FALSE,7,Daiyer,Ultra Laks,40,Orta (36-40mm),Ultra Prestijli
Pilot Big Date Flyback,Zenith,Diayer Koleksiyonlar,Ultra-Luxury,Unisex,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,159,Ultra-Luxury Collection,2 Yıl,60 Saat,Siyah,Deri,664.000₺,03.4000.3652/21.I001,1865,FALSE,2,Snorkeling (100m),Laks,42.5,Bayak (40-44mm),Atok Prestijli
Riviera,Baume & Mercier,Riviera,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,194,Premium Collection,2 Yıl,38 Saat,Mavi,Kauasuk,120.200₺,10768,1830,FALSE,45,Snorkeling (100m),Orta Segment,42,Bayak (40-44mm),Orta Prestij
Clifton,Baume & Mercier,Clifton,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,194,Premium Collection,8 Yıl,120 Saat,Somon,Deri,131.200₺,10778,1830,FALSE,16,Yazme (50m),Orta Segment,39,Orta (36-40mm),Orta Prestij
Spirit Zulu Time,Longines,Avigation,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,192,Premium Collection,5 Yıl,72 Saat,Siyah,Paslanmaz Atelik,167.000₺,L3.812.4.50.6,1832,FALSE,36,Snorkeling (100m),Orta Segment,42,Bayak (40-44mm),Orta Prestij
Classima,Baume & Mercier,Classima,Budget,Erkek,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,194,Entry Collection,2 Yıl,38 Saat,Gri,Tekstil,76.300₺,10608,1830,FALSE,19,Yazme (50m),Ekonomik,42,Bayak (40-44mm),Orta Prestij
Serpenti Seduttori,Bvlgari,Serpenti,Ultra-Luxury,Women,Pilli,Altan,Gold,30m,Splash Resistant,Italy,140,Ultra-Luxury Collection,5 Yıl,,Beyaz,Altan,1.187.000₺,103145,1884,FALSE,11,Ganlak Kullanam (30m),Ultra Laks,33,Kaaak (<36mm),Atok Prestijli
Primaluna Moonphase,Longines,Elegance,Mid-Range,Women,Otomatik,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,192,Premium Collection,5 Yıl,72 Saat,Gamaay,Paslanmaz Atelik,283.000₺,L8.126.0.71.6,1832,FALSE,69,Ganlak Kullanam (30m),Premium,34,Kaaak (<36mm),Orta Prestij
Chronomat,Breitling,Chronomat,Luxury,Women,Pilli,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,140,Luxury Collection,2 Yıl,,Gri,Paslanmaz Atelik,338.000₺,A72310531G1A1,1884,FALSE,19,Snorkeling (100m),Premium,28,Kaaak (<36mm),Prestijli
Spirit Pilot Flyback Chronograph,Longines,Avigation,Mid-Range,Erkek,Elle Kurmala,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,192,Premium Collection,5 Yıl,68 Saat,Siyah,Deri,244.000₺,L3.721.4.53.2,1832,FALSE,36,Snorkeling (100m),Premium,39.5,Orta (36-40mm),Orta Prestij
Big Bang One Click Joyful Steel Sky Blue,Hublot,Big Bang,Ultra-Luxury,Women,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,44,Ultra-Luxury Collection,2 Yıl,40 Saat,Beyaz,Kauasuk,670.800₺,485.SL.2210.RX.1207,1980,FALSE,43,Snorkeling (100m),Laks,33,Kaaak (<36mm),Atok Prestijli
Seamaster Aqua Terra,Omega,Seamaster,Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,150m,Swimming,Switzerland,176,Ultra-Luxury Collection,5 Yıl,60 Saat,Mavi,Paslanmaz Atelik,337.600₺,220.10.41.21.03.006,1848,FALSE,59,Yazme (50m),Premium,41,Bayak (40-44mm),Atok Prestijli
Classic Fusion Aerofusion Black Magic,Hublot,Classic Fusion,Ultra-Luxury,Erkek,Otomatik,Seramik,Ceramic,50m,Water Resistant,Switzerland,44,Ultra-Luxury Collection,2 Yıl,42 Saat,Askelet,Kauasuk,811.200₺,525.CM.0170.RX,1980,FALSE,45,Yazme (50m),Ultra Laks,45,Atok Bayak (>44mm),Atok Prestijli
Legend Diver,Longines,Diving,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,300m,Diving,Switzerland,192,Premium Collection,5 Yıl,72 Saat,Terakota,Paslanmaz Atelik,178.000₺,L3.764.4.96.6,1832,FALSE,49,Professyonel Dalaay (300m+),Premium,39,Orta (36-40mm),Orta Prestij
Luminor Due,Panerai,Luminor Due,Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Italy,164,Ultra-Luxury Collection,8 Yıl,72 Saat,Karmaza,Paslanmaz Atelik,402.000₺,PAM01539,1860,FALSE,17,Yazme (50m),Premium,42,Bayak (40-44mm),Atok Prestijli
Ballade,Tissot,T-Classic Collection,Budget,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,171,Entry Collection,3 Yıl,80 Saat,Yeayil,Paslanmaz Atelik,50.970₺,T156.408.11.093.00,1853,FALSE,160,Snorkeling (100m),Ekonomik,39,Orta (36-40mm),Giriş Seviyesi
Chronomaster Sport,Zenith,Chronomaster,Ultra-Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,159,Ultra-Luxury Collection,2 Yıl,60 Saat,Gri,Paslanmaz Atelik,982.800₺,03.3120.3600/76.M3100,1865,FALSE,17,Snorkeling (100m),Ultra Laks,41,Bayak (40-44mm),Atok Prestijli
Constellation,Omega,Constellation,Mid-Range,Women,Pilli,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,176,Luxury Collection,5 Yıl,,Mavi,Paslanmaz Atelik,267.700₺,131.10.25.60.53.001,1848,FALSE,42,Ganlak Kullanam (30m),Premium,25,Kaaak (<36mm),Atok Prestijli
Pioneer Retrograde Seconds Midnight Blue,H. Moser & Cie.,Pioneer,Ultra-Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,120m,Swimming,Unknown,,Ultra-Luxury Collection,2 Yıl,72 Saat,Mavi,Kauasuk,1.076.400₺,3250-1200,,FALSE,7,Daiyer,Ultra Laks,42.8,Bayak (40-44mm),Ultra Prestijli
Formula 1 Solargraph,Tag Heuer,Formula 1,Budget,Erkek,Pilli,Paslanmaz Atelik,Steel,100m,Water Resistant,Unknown,,Premium Collection,2 Yıl,,Beyaz,Paslanmaz Atelik,96.200₺,WBY1111.BA0042,,FALSE,38,Snorkeling (100m),Orta Segment,38,Orta (36-40mm),Prestijli
Superocean Heritage B31,Breitling,Superocean Heritage,Luxury,Erkek,Otomatik,Atelik Altn,Gold,200m,Swimming,Switzerland,140,Luxury Collection,5 Yıl,78 Saat,Siyah,Kauasuk,387.400₺,UB3111241B1S1,1884,FALSE,29,Dalaay (200m),Premium,42,Bayak (40-44mm),Prestijli
Classima,Baume & Mercier,Classima,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,194,Entry Collection,2 Yıl,42 Saat,Mavi,Tekstil,118.000₺,10734,1830,FALSE,19,Ganlak Kullanam (30m),Orta Segment,42,Bayak (40-44mm),Orta Prestij
Primaluna Moonphase,Longines,Elegance,Mid-Range,Women,Otomatik,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,192,Premium Collection,5 Yıl,72 Saat,Sedef,Paslanmaz Atelik,161.000₺,L8.126.4.87.6,1832,FALSE,69,Ganlak Kullanam (30m),Orta Segment,34,Kaaak (<36mm),Orta Prestij
Big Bang Unico Petrol Blue Ceramic,Hublot,Big Bang,Ultra-Luxury,Erkek,Otomatik,Seramik,Ceramic,100m,Water Resistant,Switzerland,44,Ultra-Luxury Collection,2 Yıl,72 Saat,Askelet,Kauasuk,1.138.800₺,441.ES.5121.RX,1980,FALSE,43,Snorkeling (100m),Ultra Laks,42,Bayak (40-44mm),Atok Prestijli
Conquest,Longines,Performance,Mid-Range,Women,Otomatik,Atelik Altn,Gold,100m,Water Resistant,Switzerland,192,Premium Collection,5 Yıl,45 Saat,Sedef,Paslanmaz Atelik,186.000₺,L3.320.5.87.6,1832,FALSE,57,Snorkeling (100m),Premium,30,Kaaak (<36mm),Orta Prestij
LaCoupole Diamonds,Rado,LaCoupole,Mid-Range,Women,Pilli,Seramik,Ceramic,50m,Water Resistant,Unknown,,Premium Collection,5 Yıl,,Kahverengi,Seramik,162.200₺,R22242703,,FALSE,3,Yazme (50m),Orta Segment,31,Kaaak (<36mm),Orta Prestij
T-Race Chronograph,Tissot,T-Sport Collection,Budget,Women,Pilli,Atelik Altn,Gold,100m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,,Azampanya,Sentetik,31.480₺,T141.817.37.501.00,1853,FALSE,97,Snorkeling (100m),Ekonomik,38,Orta (36-40mm),Giriş Seviyesi
Speedmaster Moonwatch,Omega,Speedmaster,Luxury,Erkek,Elle Kurmala,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,176,Ultra-Luxury Collection,5 Yıl,50 Saat,Siyah,Paslanmaz Atelik,407.400₺,310.30.42.50.01.002,1848,FALSE,25,Yazme (50m),Laks,42,Bayak (40-44mm),Atok Prestijli
Luminor Due,Panerai,Luminor Due,Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Italy,164,Ultra-Luxury Collection,8 Yıl,72 Saat,Gri,Paslanmaz Atelik,402.000₺,PAM01387,1860,FALSE,17,Yazme (50m),Premium,42,Bayak (40-44mm),Atok Prestijli
Seamaster Diver 300M,Omega,Seamaster,Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,300m,Diving,Switzerland,176,Ultra-Luxury Collection,5 Yıl,55 Saat,Siyah,Paslanmaz Atelik,302.600₺,210.30.42.20.01.001,1848,FALSE,59,Professyonel Dalaay (300m+),Premium,42,Bayak (40-44mm),Atok Prestijli
Carrera Date,Tag Heuer,Carrera,Mid-Range,Women,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Unknown,,Luxury Collection,5 Yıl,40 Saat,Mavi,Paslanmaz Atelik,148.200₺,WBN2411.BA0621,,FALSE,35,Snorkeling (100m),Orta Segment,29,Kaaak (<36mm),Prestijli
DolceVita,Longines,Elegance,Budget,Women,Pilli,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,192,Premium Collection,2 Yıl,,Gamaay,Krokodil,78.000₺,L5.512.4.71.0,1832,FALSE,69,Ganlak Kullanam (30m),Ekonomik,23.3,Kaaak (<36mm),Orta Prestij
Carrera Date,Tag Heuer,Carrera,Mid-Range,Women,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Unknown,,Luxury Collection,2 Yıl,40 Saat,Sedef,Paslanmaz Atelik,153.400₺,WBN2410.BA0621,,FALSE,35,Snorkeling (100m),Orta Segment,29,Kaaak (<36mm),Prestijli
Classima,Baume & Mercier,Classima,Budget,Erkek,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,194,Entry Collection,2 Yıl,38 Saat,Gri,Tekstil,76.300₺,10695,1830,FALSE,19,Yazme (50m),Ekonomik,42,Bayak (40-44mm),Orta Prestij
Spirit Pilot Flyback Chronograph,Longines,Avigation,Mid-Range,Erkek,Elle Kurmala,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,192,Premium Collection,5 Yıl,68 Saat,Siyah,Paslanmaz Atelik,256.000₺,L3.721.4.53.6,1832,FALSE,36,Snorkeling (100m),Premium,39.5,Orta (36-40mm),Orta Prestij
Classic Fusion Ceramic King Gold,Hublot,Classic Fusion,Ultra-Luxury,Unisex,Otomatik,Seramik,Ceramic,50m,Water Resistant,Switzerland,44,Ultra-Luxury Collection,2 Yıl,48 Saat,Siyah,Kauasuk,546.000₺,565.CO.1480.RX,1980,FALSE,45,Yazme (50m),Laks,38,Orta (36-40mm),Atok Prestijli
HydroConquest,Longines,Diving,Budget,Erkek,Otomatik,Paslanmaz Atelik,Steel,300m,Diving,Switzerland,192,Premium Collection,5 Yıl,72 Saat,Yeayil,Paslanmaz Atelik,95.000₺,L3.781.4.06.6,1832,FALSE,49,Professyonel Dalaay (300m+),Orta Segment,41,Bayak (40-44mm),Orta Prestij
Seamaster Aqua Terra 150M,Omega,Seamaster,Luxury,Women,Otomatik,Paslanmaz Atelik,Steel,150m,Swimming,Switzerland,176,Ultra-Luxury Collection,5 Yıl,48 Saat,Mor,Paslanmaz Atelik,320.100₺,220.10.30.20.10.002,1848,FALSE,59,Yazme (50m),Premium,30,Kaaak (<36mm),Atok Prestijli
Big Bang Meca-10 Frosted Carbon,Hublot,Big Bang,Ultra-Luxury,Erkek,Elle Kurmala,Karbon,Carbon,100m,Water Resistant,Switzerland,44,Ultra-Luxury Collection,2 Yıl,240 Saat,Askelet,Tekstil,1.294.800₺,444.QN.1170.NR,1980,FALSE,43,Snorkeling (100m),Ultra Laks,42,Bayak (40-44mm),Atok Prestijli
Classic Fusion Ceramic Blue Chronograph,Hublot,Classic Fusion,Ultra-Luxury,Erkek,Otomatik,Seramik,Ceramic,50m,Water Resistant,Switzerland,44,Ultra-Luxury Collection,2 Yıl,42 Saat,Mavi,Krokodil,603.200₺,541.CM.7170.LR,1980,FALSE,45,Yazme (50m),Laks,42,Bayak (40-44mm),Atok Prestijli
Bvlgari Bvlgari,Bvlgari,Bvlgari Bvlgari,Ultra-Luxury,Erkek,Otomatik,Altan,Gold,50m,Water Resistant,Italy,140,Luxury Collection,5 Yıl,42 Saat,Yeayil,Krokodil,742.000₺,104112,1884,FALSE,14,Yazme (50m),Laks,39,Orta (36-40mm),Atok Prestijli
Conquest,Longines,Performance,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,192,Premium Collection,5 Yıl,72 Saat,Mavi,Paslanmaz Atelik,109.000₺,L3.720.4.92.6,1832,FALSE,57,Snorkeling (100m),Orta Segment,38,Orta (36-40mm),Orta Prestij
PRC 100 Solar,Tissot,T-Sport Collection,Budget,Women,Pilli,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,171,Entry Collection,3 Yıl,,Mavi,Paslanmaz Atelik,25.190₺,T151.822.11.351.00,1853,FALSE,97,Snorkeling (100m),Ekonomik,34,Kaaak (<36mm),Giriş Seviyesi
Top Time B01 Racing,Breitling,Top Time,Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,140,Luxury Collection,5 Yıl,70 Saat,Siyah,Deri,361.400₺,AB01771A1B1X1,1884,FALSE,10,Snorkeling (100m),Premium,38,Orta (36-40mm),Prestijli
Classic Fusion Titanium Blue,Hublot,Classic Fusion,Luxury,Erkek,Otomatik,Titanyum,Titanium,50m,Water Resistant,Switzerland,44,Ultra-Luxury Collection,2 Yıl,42 Saat,Mavi,Kauasuk,374.400₺,511.NX.7170.RX,1980,FALSE,45,Yazme (50m),Premium,45,Atok Bayak (>44mm),Atok Prestijli
Classic Fusion Chronograph Black Magic,Hublot,Classic Fusion,Ultra-Luxury,Erkek,Otomatik,Seramik,Ceramic,50m,Water Resistant,Switzerland,44,Ultra-Luxury Collection,2 Yıl,48 Saat,Siyah,Kauasuk,582.400₺,521.CM.1171.RX,1980,FALSE,45,Yazme (50m),Laks,45,Atok Bayak (>44mm),Atok Prestijli
Classima,Baume & Mercier,Classima,Budget,Erkek,Pilli,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,194,Entry Collection,2 Yıl,,Gri,Krokodil,42.200₺,10416,1830,FALSE,19,Yazme (50m),Ekonomik,42,Bayak (40-44mm),Orta Prestij
