name,brand,collection,price,price_category,gender,movement,case material,case_material_category,water_resistance,water_resistance_category,brand_country,brand_age,collection_price_tier,warrenty,power_reserve,dial,bracelet,PRODUCT_NAME_DETAIL,PRODUCT_PRICE_DETAIL,reference,brand_founded_year,brand_avg_price,brand_median_price,brand_price_std,brand_product_count,price_vs_brand_avg,price_percentile,price_zscore,is_price_outlier,collection_popularity,water_resistance_standardized,price_category_improved,case_diameter_numeric,case_size_category,brand_prestige_level
Carrera Chronograph Extreme Sport Twin-Time,Tag Heuer,Carrera,460200,Luxury,Erkek,Otomatik,Titanyum,Titanium,100m,Water Resistant,Unknown,,Luxury Collection,2 Yıl,80 Saat,Askelet,Kauasuk,Carrera Chronograph Extreme Sport Twin-Time,460.200₺,CBU2084.FT6297,,219025.56,179400,138288.27,133,1.1011246,0.7805389,0.19934735,FALSE,35,Snorkeling (100m),Laks,44,Bayak (40-44mm),Prestijli
Urban BR-X5 Ice Blue,Bell & Ross,Urban,375000,Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Unknown,,Luxury Collection,2 Yıl,70 Saat,Mavi,Kauasuk,Urban BR-X5 Ice Blue,375.000₺,BRX5R-IB-ST/SRB,,319280,287100,120730.07,30,0.17451766,0.7257485,0.04516678,FALSE,19,Snorkeling (100m),Premium,41,Bayak (40-44mm),Prestijli
ProPilot Altimeter X BWD,Oris,ProPilot,403000,Luxury,Erkek,Otomatik,Titanyum,Titanium,100m,Water Resistant,Unknown,,Premium Collection,2 Yıl,56 Saat,Siyah,Tekstil,ProPilot Altimeter X BWD,403.000₺,01 793 7775 8724-Set,,177222.78,143000,68706.82,79,1.273974,0.74850297,0.09583645,FALSE,6,Snorkeling (100m),Premium,47,Atok Bayak (>44mm),Orta Prestij
Luminor Due Luna,Panerai,Luminor Due,469000,Luxury,Women,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Italy,164,Ultra-Luxury Collection,8 Yıl,,Mavi,Krokodil,Luminor Due Luna,469.000₺,PAM01558,1860,649664.06,473800,466149.7,89,-0.27808842,0.7922156,0.21527211,FALSE,17,Yazme (50m),Laks,38,Orta (36-40mm),Atok Prestijli
Superocean Heritage,Breitling,Superocean Heritage,273000,Mid-Range,Women,Otomatik,Paslanmaz Atelik,Steel,200m,Swimming,Switzerland,140,Luxury Collection,2 Yıl,42 Saat,Yeayil,Paslanmaz Atelik,Superocean Heritage,273.000₺,A10390361L1A1,1884,344131.2,317200,114878.734,125,-0.20669791,0.6317365,-0.13941559,FALSE,29,Dalaay (200m),Premium,36,Orta (36-40mm),Prestijli
Riviera,Baume & Mercier,Riviera,162600,Mid-Range,Women,Pilli,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,194,Premium Collection,2 Yıl,,Gamaay,Paslanmaz Atelik,Riviera,162.600₺,10796,1830,126401.04,120200,54582.965,96,0.2863818,0.4745509,-0.3391989,FALSE,45,Yazme (50m),Orta Segment,33,Kaaak (<36mm),Orta Prestij
Seamaster Aqua Terra 150M,Omega,Seamaster,570400,Ultra-Luxury,Women,Otomatik,Atelik Altn,Gold,150m,Swimming,Switzerland,176,Ultra-Luxury Collection,5 Yıl,48 Saat,Kahverengi,Atelik Altn,Seamaster Aqua Terra 150M,570.400₺,220.20.30.20.63.001,1848,513525.72,401600,458838.5,140,0.11075256,0.84970057,0.3987687,FALSE,59,Yazme (50m),Laks,30,Kaaak (<36mm),Atok Prestijli
Big Bang One Click Joyful Steel Pink,Hublot,Big Bang,670800,Ultra-Luxury,Women,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,44,Ultra-Luxury Collection,2 Yıl,40 Saat,Beyaz,Kauasuk,Big Bang One Click Joyful Steel Pink,670.800₺,485.SP.2210.RX.1233,1980,842739.1,681200,419912.2,92,-0.20402415,0.8817365,0.58045566,FALSE,43,Snorkeling (100m),Laks,33,Kaaak (<36mm),Atok Prestijli
Conquest Heritage,Longines,Watchmaking Tradition,159000,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,192,Premium Collection,5 Yıl,72 Saat,Yeayil,Paslanmaz Atelik,Conquest Heritage,159.000₺,L1.650.4.02.6,1832,134676.78,131000,52081.965,267,0.18060441,0.45688623,-0.34571356,FALSE,54,Yazme (50m),Orta Segment,40,Orta (36-40mm),Orta Prestij
Ultra-Chron Classic,Longines,Diving,178000,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,192,Premium Collection,5 Yıl,52 Saat,Gamaay,Krokodil,Ultra-Chron Classic,178.000₺,L2.937.4.72.2,1832,134676.78,131000,52081.965,267,0.32168293,0.50898206,-0.31133056,FALSE,49,Yazme (50m),Premium,40,Orta (36-40mm),Orta Prestij
Clifton,Baume & Mercier,Clifton,131200,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,194,Premium Collection,8 Yıl,120 Saat,Beyaz,Deri,Clifton,131.200₺,10773,1830,126401.04,120200,54582.965,96,0.03796613,0.37964073,-0.3960213,FALSE,16,Yazme (50m),Orta Segment,39,Orta (36-40mm),Orta Prestij
Superocean,Breitling,Superocean,252200,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,300m,Diving,Switzerland,140,Premium Collection,2 Yıl,38 Saat,Mavi,Kauasuk,Superocean,252.200₺,A17375E71C1S1,1884,344131.2,317200,114878.734,125,-0.26713997,0.605988,-0.17705593,FALSE,15,Professyonel Dalaay (300m+),Premium,42,Bayak (40-44mm),Prestijli
Fleurier Collection 19Thirty 10th Anniversary,Bovet,Fleurier,1.3884e+06,Ultra-Luxury,Erkek,Elle Kurmala,Paslanmaz Atelik,Steel,30m,Splash Resistant,Unknown,,Ultra-Luxury Collection,5 Yıl,168 Saat,Yeayil,Deri,Fleurier Collection 19Thirty 10th Anniversary,1.388.400₺,NTS0118,,2.4870858e+06,1.9188e+06,1.7304225e+06,7,-0.44175628,0.9631736,1.879047,FALSE,5,Ganlak Kullanam (30m),Ultra Laks,42,Bayak (40-44mm),Ultra Prestijli
Luminor Tre Giorni Luna Rossa,Panerai,Luminor,320700,Luxury,Erkek,Elle Kurmala,Paslanmaz Atelik,Steel,100m,Water Resistant,Italy,164,Ultra-Luxury Collection,8 Yıl,72 Saat,Gri,Kauasuk,Luminor Tre Giorni Luna Rossa,320.700₺,PAM01653,1860,649664.06,473800,466149.7,89,-0.50636023,0.6796407,-0.053096194,FALSE,37,Snorkeling (100m),Premium,44,Bayak (40-44mm),Atok Prestijli
Primaluna Moonphase,Longines,Elegance,314000,Luxury,Women,Otomatik,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,192,Premium Collection,5 Yıl,72 Saat,Mavi,Krokodil,Primaluna Moonphase,314.000₺,L8.126.0.97.2,1832,134676.78,131000,52081.965,267,1.331508,0.6694611,-0.06522072,FALSE,69,Ganlak Kullanam (30m),Premium,34,Kaaak (<36mm),Orta Prestij
Ultra-Chron Classic,Longines,Diving,183000,Mid-Range,Unisex,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,192,Premium Collection,5 Yıl,52 Saat,Gamaay,Paslanmaz Atelik,Ultra-Chron Classic,183.000₺,L2.537.4.72.6,1832,134676.78,131000,52081.965,267,0.35880885,0.5176647,-0.3022824,FALSE,49,Yazme (50m),Premium,37,Orta (36-40mm),Orta Prestij
Formula 1 Solargraph,Tag Heuer,Formula 1,91000,Budget,Erkek,Pilli,Paslanmaz Atelik,Steel,100m,Water Resistant,Unknown,,Premium Collection,2 Yıl,,Beyaz,Kauasuk,Formula 1 Solargraph,91.000₺,WBY1161.FT8086,,219025.56,179400,138288.27,133,-0.5845234,0.2505988,-0.46876848,FALSE,38,Snorkeling (100m),Ekonomik,38,Orta (36-40mm),Prestijli
Classima,Baume & Mercier,Classima,151600,Mid-Range,Erkek,Elle Kurmala,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,194,Entry Collection,2 Yıl,46 Saat,Mavi,Tekstil,Classima,151.600₺,10735,1830,126401.04,120200,54582.965,96,0.19935721,0.43473053,-0.3591048,FALSE,19,Yazme (50m),Orta Segment,42,Bayak (40-44mm),Orta Prestij
Big Bang One Click Joyful Steel Orange,Hublot,Big Bang,670800,Ultra-Luxury,Women,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,44,Ultra-Luxury Collection,2 Yıl,40 Saat,Beyaz,Kauasuk,Big Bang One Click Joyful Steel Orange,670.800₺,485.SO.2210.RX.1206,1980,842739.1,681200,419912.2,92,-0.20402415,0.8817365,0.58045566,FALSE,43,Snorkeling (100m),Laks,33,Kaaak (<36mm),Atok Prestijli
Superocean Heritage B01 Chronograph,Breitling,Superocean Heritage,491400,Luxury,Erkek,Otomatik,Atelik Altn,Gold,200m,Swimming,Switzerland,140,Luxury Collection,5 Yıl,70 Saat,Siyah,Kauasuk,Superocean Heritage B01 Chronograph,491.400₺,UB0156H11B1S1,1884,344131.2,317200,114878.734,125,0.42794377,0.80958086,0.25580785,FALSE,29,Dalaay (200m),Laks,42,Bayak (40-44mm),Prestijli
Clifton,Baume & Mercier,Clifton,135900,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,194,Premium Collection,8 Yıl,120 Saat,Mavi,Paslanmaz Atelik,Clifton,135.900₺,10792,1830,126401.04,120200,54582.965,96,0.075149365,0.3961078,-0.38751602,FALSE,16,Yazme (50m),Orta Segment,39,Orta (36-40mm),Orta Prestij
Endurance Pro,Breitling,Professional,174200,Mid-Range,Erkek,Pilli,Karbon,Carbon,100m,Water Resistant,Switzerland,140,Premium Collection,2 Yıl,,Siyah,Kauasuk,Endurance Pro,174.200₺,X82310A51B1S2,1884,344131.2,317200,114878.734,125,-0.49379772,0.5023952,-0.31820714,FALSE,15,Snorkeling (100m),Orta Segment,44,Bayak (40-44mm),Prestijli
Conquest Heritage,Longines,Watchmaking Tradition,159000,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,192,Premium Collection,5 Yıl,72 Saat,Mavi,Paslanmaz Atelik,Conquest Heritage,159.000₺,L1.650.4.92.6,1832,134676.78,131000,52081.965,267,0.18060441,0.45688623,-0.34571356,FALSE,54,Yazme (50m),Orta Segment,40,Orta (36-40mm),Orta Prestij
Pioneer Centre Seconds Sunny-Side Up,H. Moser & Cie.,Pioneer,780000,Ultra-Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,120m,Swimming,Unknown,,Ultra-Luxury Collection,2 Yıl,72 Saat,Sara,Kauasuk,Pioneer Centre Seconds Sunny-Side Up,780.000₺,3201-1200,,2.2611332e+06,1.456e+06,1.553869e+06,24,-0.65504026,0.9026946,0.7780674,FALSE,7,Daiyer,Ultra Laks,40,Orta (36-40mm),Ultra Prestijli
Pilot Big Date Flyback,Zenith,Diayer Koleksiyonlar,664000,Ultra-Luxury,Unisex,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,159,Ultra-Luxury Collection,2 Yıl,60 Saat,Siyah,Deri,Pilot Big Date Flyback,664.000₺,03.4000.3652/21.I001,1865,899523.5,634400,777656.8,34,-0.26183143,0.8781437,0.56815016,FALSE,2,Snorkeling (100m),Laks,42.5,Bayak (40-44mm),Atok Prestijli
Riviera,Baume & Mercier,Riviera,120200,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,194,Premium Collection,2 Yıl,38 Saat,Mavi,Kauasuk,Riviera,120.200₺,10768,1830,126401.04,120200,54582.965,96,-0.04905847,0.34371257,-0.41592723,FALSE,45,Snorkeling (100m),Orta Segment,42,Bayak (40-44mm),Orta Prestij
Clifton,Baume & Mercier,Clifton,131200,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,194,Premium Collection,8 Yıl,120 Saat,Somon,Deri,Clifton,131.200₺,10778,1830,126401.04,120200,54582.965,96,0.03796613,0.37964073,-0.3960213,FALSE,16,Yazme (50m),Orta Segment,39,Orta (36-40mm),Orta Prestij
Spirit Zulu Time,Longines,Avigation,167000,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,192,Premium Collection,5 Yıl,72 Saat,Siyah,Paslanmaz Atelik,Spirit Zulu Time,167.000₺,L3.812.4.50.6,1832,134676.78,131000,52081.965,267,0.2400059,0.48862275,-0.3312365,FALSE,36,Snorkeling (100m),Orta Segment,42,Bayak (40-44mm),Orta Prestij
Classima,Baume & Mercier,Classima,76300,Budget,Erkek,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,194,Entry Collection,2 Yıl,38 Saat,Gri,Tekstil,Classima,76.300₺,10608,1830,126401.04,120200,54582.965,96,-0.39636573,0.21586826,-0.49537006,FALSE,19,Yazme (50m),Ekonomik,42,Bayak (40-44mm),Orta Prestij
Serpenti Seduttori,Bvlgari,Serpenti,1.187e+06,Ultra-Luxury,Women,Pilli,Altan,Gold,30m,Splash Resistant,Italy,140,Ultra-Luxury Collection,5 Yıl,,Beyaz,Altan,Serpenti Seduttori,1.187.000₺,103145,1884,514079.38,416000,402732.22,63,1.308982,0.94550896,1.5145873,FALSE,11,Ganlak Kullanam (30m),Ultra Laks,33,Kaaak (<36mm),Atok Prestijli
Primaluna Moonphase,Longines,Elegance,283000,Mid-Range,Women,Otomatik,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,192,Premium Collection,5 Yıl,72 Saat,Gamaay,Paslanmaz Atelik,Primaluna Moonphase,283.000₺,L8.126.0.71.6,1832,134676.78,131000,52081.965,267,1.1013273,0.63832337,-0.12131929,FALSE,69,Ganlak Kullanam (30m),Premium,34,Kaaak (<36mm),Orta Prestij
Chronomat,Breitling,Chronomat,338000,Luxury,Women,Pilli,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,140,Luxury Collection,2 Yıl,,Gri,Paslanmaz Atelik,Chronomat,338.000₺,A72310531G1A1,1884,344131.2,317200,114878.734,125,-0.017816462,0.69520956,-0.021789573,FALSE,19,Snorkeling (100m),Premium,28,Kaaak (<36mm),Prestijli
Spirit Pilot Flyback Chronograph,Longines,Avigation,244000,Mid-Range,Erkek,Elle Kurmala,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,192,Premium Collection,5 Yıl,68 Saat,Siyah,Deri,Spirit Pilot Flyback Chronograph,244.000₺,L3.721.4.53.2,1832,134676.78,131000,52081.965,267,0.81174517,0.59401196,-0.1918949,FALSE,36,Snorkeling (100m),Premium,39.5,Orta (36-40mm),Orta Prestij
Big Bang One Click Joyful Steel Sky Blue,Hublot,Big Bang,670800,Ultra-Luxury,Women,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,44,Ultra-Luxury Collection,2 Yıl,40 Saat,Beyaz,Kauasuk,Big Bang One Click Joyful Steel Sky Blue,670.800₺,485.SL.2210.RX.1207,1980,842739.1,681200,419912.2,92,-0.20402415,0.8817365,0.58045566,FALSE,43,Snorkeling (100m),Laks,33,Kaaak (<36mm),Atok Prestijli
Seamaster Aqua Terra,Omega,Seamaster,337600,Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,150m,Swimming,Switzerland,176,Ultra-Luxury Collection,5 Yıl,60 Saat,Mavi,Paslanmaz Atelik,Seamaster Aqua Terra,337.600₺,220.10.41.21.03.006,1848,513525.72,401600,458838.5,140,-0.34258404,0.69251496,-0.022513427,FALSE,59,Yazme (50m),Premium,41,Bayak (40-44mm),Atok Prestijli
Classic Fusion Aerofusion Black Magic,Hublot,Classic Fusion,811200,Ultra-Luxury,Erkek,Otomatik,Seramik,Ceramic,50m,Water Resistant,Switzerland,44,Ultra-Luxury Collection,2 Yıl,42 Saat,Askelet,Kauasuk,Classic Fusion Aerofusion Black Magic,811.200₺,525.CM.0170.RX,1980,842739.1,681200,419912.2,92,-0.037424546,0.91197604,0.8345279,FALSE,45,Yazme (50m),Ultra Laks,45,Atok Bayak (>44mm),Atok Prestijli
Legend Diver,Longines,Diving,178000,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,300m,Diving,Switzerland,192,Premium Collection,5 Yıl,72 Saat,Terakota,Paslanmaz Atelik,Legend Diver,178.000₺,L3.764.4.96.6,1832,134676.78,131000,52081.965,267,0.32168293,0.50898206,-0.31133056,FALSE,49,Professyonel Dalaay (300m+),Premium,39,Orta (36-40mm),Orta Prestij
Luminor Due,Panerai,Luminor Due,402000,Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Italy,164,Ultra-Luxury Collection,8 Yıl,72 Saat,Karmaza,Paslanmaz Atelik,Luminor Due,402.000₺,PAM01539,1860,649664.06,473800,466149.7,89,-0.38121864,0.747006,0.09402682,FALSE,17,Yazme (50m),Premium,42,Bayak (40-44mm),Atok Prestijli
Ballade,Tissot,T-Classic Collection,50970,Budget,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,171,Entry Collection,3 Yıl,80 Saat,Yeayil,Paslanmaz Atelik,Ballade,50.970₺,T156.408.11.093.00,1853,30113.854,26090,13456.789,288,0.6925764,0.16886227,-0.541208,FALSE,160,Snorkeling (100m),Ekonomik,39,Orta (36-40mm),Giriş Seviyesi
Chronomaster Sport,Zenith,Chronomaster,982800,Ultra-Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,159,Ultra-Luxury Collection,2 Yıl,60 Saat,Gri,Paslanmaz Atelik,Chronomaster Sport,982.800₺,03.3120.3600/76.M3100,1865,899523.5,634400,777656.8,34,0.092578426,0.9299401,1.1450605,FALSE,17,Snorkeling (100m),Ultra Laks,41,Bayak (40-44mm),Atok Prestijli
Constellation,Omega,Constellation,267700,Mid-Range,Women,Pilli,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,176,Luxury Collection,5 Yıl,,Mavi,Paslanmaz Atelik,Constellation,267.700₺,131.10.25.60.53.001,1848,513525.72,401600,458838.5,140,-0.47870186,0.6269461,-0.14900665,FALSE,42,Ganlak Kullanam (30m),Premium,25,Kaaak (<36mm),Atok Prestijli
Pioneer Retrograde Seconds Midnight Blue,H. Moser & Cie.,Pioneer,1.0764e+06,Ultra-Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,120m,Swimming,Unknown,,Ultra-Luxury Collection,2 Yıl,72 Saat,Mavi,Kauasuk,Pioneer Retrograde Seconds Midnight Blue,1.076.400₺,3250-1200,,2.2611332e+06,1.456e+06,1.553869e+06,24,-0.5239555,0.93652695,1.314442,FALSE,7,Daiyer,Ultra Laks,42.8,Bayak (40-44mm),Ultra Prestijli
Formula 1 Solargraph,Tag Heuer,Formula 1,96200,Budget,Erkek,Pilli,Paslanmaz Atelik,Steel,100m,Water Resistant,Unknown,,Premium Collection,2 Yıl,,Beyaz,Paslanmaz Atelik,Formula 1 Solargraph,96.200₺,WBY1111.BA0042,,219025.56,179400,138288.27,133,-0.56078184,0.26796407,-0.4593584,FALSE,38,Snorkeling (100m),Orta Segment,38,Orta (36-40mm),Prestijli
Superocean Heritage B31,Breitling,Superocean Heritage,387400,Luxury,Erkek,Otomatik,Atelik Altn,Gold,200m,Swimming,Switzerland,140,Luxury Collection,5 Yıl,78 Saat,Siyah,Kauasuk,Superocean Heritage B31,387.400₺,UB3111241B1S1,1884,344131.2,317200,114878.734,125,0.12573344,0.73652697,0.0676062,FALSE,29,Dalaay (200m),Premium,42,Bayak (40-44mm),Prestijli
Classima,Baume & Mercier,Classima,118000,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,194,Entry Collection,2 Yıl,42 Saat,Mavi,Tekstil,Classima,118.000₺,10734,1830,126401.04,120200,54582.965,96,-0.06646339,0.3299401,-0.41990843,FALSE,19,Ganlak Kullanam (30m),Orta Segment,42,Bayak (40-44mm),Orta Prestij
Primaluna Moonphase,Longines,Elegance,161000,Mid-Range,Women,Otomatik,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,192,Premium Collection,5 Yıl,72 Saat,Sedef,Paslanmaz Atelik,Primaluna Moonphase,161.000₺,L8.126.4.87.6,1832,134676.78,131000,52081.965,267,0.19545479,0.46437126,-0.3420943,FALSE,69,Ganlak Kullanam (30m),Orta Segment,34,Kaaak (<36mm),Orta Prestij
Big Bang Unico Petrol Blue Ceramic,Hublot,Big Bang,1.1388e+06,Ultra-Luxury,Erkek,Otomatik,Seramik,Ceramic,100m,Water Resistant,Switzerland,44,Ultra-Luxury Collection,2 Yıl,72 Saat,Askelet,Kauasuk,Big Bang Unico Petrol Blue Ceramic,1.138.800₺,441.ES.5121.RX,1980,842739.1,681200,419912.2,92,0.35130784,0.94251496,1.427363,FALSE,43,Snorkeling (100m),Ultra Laks,42,Bayak (40-44mm),Atok Prestijli
Conquest,Longines,Performance,186000,Mid-Range,Women,Otomatik,Atelik Altn,Gold,100m,Water Resistant,Switzerland,192,Premium Collection,5 Yıl,45 Saat,Sedef,Paslanmaz Atelik,Conquest,186.000₺,L3.320.5.87.6,1832,134676.78,131000,52081.965,267,0.3810844,0.52125746,-0.2968535,FALSE,57,Snorkeling (100m),Premium,30,Kaaak (<36mm),Orta Prestij
LaCoupole Diamonds,Rado,LaCoupole,162200,Mid-Range,Women,Pilli,Seramik,Ceramic,50m,Water Resistant,Unknown,,Premium Collection,5 Yıl,,Kahverengi,Seramik,LaCoupole Diamonds,162.200₺,R22242703,,133908.42,126200,57445.586,95,0.21127558,0.46976048,-0.33992273,FALSE,3,Yazme (50m),Orta Segment,31,Kaaak (<36mm),Orta Prestij
T-Race Chronograph,Tissot,T-Sport Collection,31480,Budget,Women,Pilli,Atelik Altn,Gold,100m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,,Azampanya,Sentetik,T-Race Chronograph,31.480₺,T141.817.37.501.00,1853,30113.854,26090,13456.789,288,0.045366023,0.10988024,-0.5764777,FALSE,97,Snorkeling (100m),Ekonomik,38,Orta (36-40mm),Giriş Seviyesi
Speedmaster Moonwatch,Omega,Speedmaster,407400,Luxury,Erkek,Elle Kurmala,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,176,Ultra-Luxury Collection,5 Yıl,50 Saat,Siyah,Paslanmaz Atelik,Speedmaster Moonwatch,407.400₺,310.30.42.50.01.002,1848,513525.72,401600,458838.5,140,-0.20666096,0.7502994,0.10379883,FALSE,25,Yazme (50m),Laks,42,Bayak (40-44mm),Atok Prestijli
